ID,LOCATION,NAME,IMAGE
36553317,"59.724413,17.776155",Art Wall of Angby,https://lh6.ggpht.com/OBOB9x6lHO7_QCAoJVyPCpLRIjLmmDet2F1bdxtd33M9mJn0WjJzBthA9XsnhB0GjQ3lNgnRX5yuTdr0CdHniw
3689969,"59.848361,17.660054",Suspended Cab Convertible,https://lh6.ggpht.com/sJnDi_kHdIA29c2KK2VFDDVuw5bih9cMGU_v9PchcEZK39TQelra2sfFrAyHe2WBsemndMzEvlXZ1m5lk19xog
792646,"60.628066,17.407778",Vattentornet I Skutskär,https://lh5.ggpht.com/y39E6fQK7-iKSuAmE_zD8PYRcVaKKOPA-muIiwmNtOza8PwT_ggPuUgK8EepHY8ab-p37KyFpv5bSSAFE3g
49074243,"60.497255,17.416971",Fågeltornet Knut,https://lh5.ggpht.com/6rc0ICw4Ei818NWO36g8wOdipweZ2mbGKucFm5ilCyNzYJliWWK1GsCW6oN6omDhn4eSUsce-wXNnoqtYIra
3689996,"59.848339,17.556432",Curlinghallen,https://lh5.ggpht.com/V60flQK44NVFZFvWdhGCM0_aBQYEOuRY4PMIROsP0hTZPGmt4Dnkr7nINh7X8YDfIqkxXDjsh4cvRUzlpgZw
49074244,"60.564681,17.439022",Milsten Från 1850,https://lh3.googleusercontent.com/_toWqIeOk6_OtEW8xSlN8xjqmwz5pVldN4Lrc21eXhB56cJP0ONxeiAIEf8F-Kf7hJ90QS46c2P0frkyDEk
49080922,"59.809544,17.628848",Gottsundakyrkans Klocktorn,https://lh6.ggpht.com/UuF-YbwQbjBrnoAzj6Xhbqbc5i5O2Zwbw72Q4CTtTtfvvCJc-hNxj9EAPvGYTl2AP7GTqDPap6UGvvNh-xw
49074245,"60.491734,17.425646",Marma Kyrka,https://lh4.ggpht.com/kFUH9EeAUwT5XujhVpwL0m3_Daj-e6GRsMzPp05R-pSXYkm53uyr1zb6rMF_hwIKY4Y1Qh0-Q3T2cfwN5Xwy
49074246,"60.558708,17.432864",Silverspringare,https://lh3.googleusercontent.com/ze2WmKFli9v452U6PQMxf2pAIIAFustJopwosCRxoEkHeuzgEDY3TD3gi_QgVT7T2JsS5NRbptEp_tch2l0
3689759,"59.787727,17.594512",Uppsala-näs Church,https://lh4.ggpht.com/Etv8dcAQm-vhp1flGPCzFLCPIZjj3eoDLULH_Z5IiCHfqz3sLlnN6_HvkOXM6ud13gY055XMstPvXwGk3rgT
49074247,"60.48994,17.423",Min Soldat,https://lh5.ggpht.com/Jg1WniiSSJ1DlIYmscsfTx6cufoLSz2KfwZ3jnK6BjI94y_6fqh6M5RzoYNFxOJ2rLW6Qfk8hIr7z22SZ4-9Yg
9669539,"59.85958,17.637185",Speakers Corner,https://lh4.ggpht.com/EwERI9fnsjghNdZsx1wANzbLkyxUt60YZa2LK9xB399sBbHMsz4RO601_zpxri5IYuGIDCsJPv-zdQCxBRaK
12012433,"59.865975,17.68819",Porten,https://lh3.googleusercontent.com/3eEb6ICJ-r6FmfcRqCo3dIxM2LIPs3QqbOXGggvdo8ExBm8GSj9BiAAdKSaew-wvz1lzeqf3K6u29RRIAmSaSw
44220695,"59.63684,17.076396",The Cheerleader,https://lh6.ggpht.com/Du2TSxpj_jPbs35biG3_VLpaTpB0UnQG5Ur0pcapRMXQ_yQMxl-PCJT0CfjgFRCu2xDnM5ikS97fKco9QACX
36553306,"59.705357,17.622548",Välkommen till Skoklosters Slott,https://lh3.ggpht.com/QICRErDOmEhtmq5vLKLRGfp5ZUZrnYgxJG3PSVs_MGdWkmnjXUfo1tch1Vm3uMlzSxxvuSpItAIMdd9-hm74
36553307,"59.70576,17.622469",Välkommen Till Skohalvön,https://lh5.ggpht.com/yXGvcuuc7HkjKguv9kh_UifqWhkmzrB8B065JvgYB1FNzMAEvBij3nS6_vNuYvgf2KYSig2sNb83dDesMX_t
9669413,"59.853928,17.639017",I Robot,https://lh3.ggpht.com/a3oc0wpQ2vN-Srxe64zoDKCvTGd1AVgS2AJN6aTRJCohgyHBAwyjbQzDdWHqRcwrMrGbUDl0Trj32Qoh5Qtu
44220693,"59.640767,17.058117",Lillsidan Street Art,https://lh6.ggpht.com/EW-Ba0xoOl9R-bJiiC27ZCZP5CGrNiiUiaqnT24_DTmU3dJ-Z_1A6_l1SF0DFoPdDmV8iqhzt8tzQuf_gP8V
9669770,"59.857198,17.653145",En Baggis,https://lh6.ggpht.com/mlxBJ2VPn4GZsvMJZ14Zb3B4VSIL6UwqsfK8KdpVrLjqyqpUB8Cc4aK4HZ6yI7X7hh8YegW5GDh_TSLVDz5Q
893712,"60.105246,17.21403",Harbo Kyrka,https://lh6.ggpht.com/9l8v2xcXBn0-cgYwvd5LWWq3sVyDSFY3v3m2RNwIy1XWx_v2S_CjXyvYpXsVqKTi1PLqo8QG1-VTECsPIi8
766967,"60.110195,17.211273",Milestone JR,https://lh6.ggpht.com/0vKQixGfzaZ53PhISCs1syLUP8z6dLYKHlcIqh-t4bEIvsGVYU9Oxb7fX-Rdqor4UkJESuvkzopuMK5xUaSjkg
865170,"59.763676,17.879555",Östuna Kyrka,https://lh5.ggpht.com/SVeWcKcrlKT8Rqx_c5ioT4It9Fc66j0IrPocTwqebMZ15_h61iie1QHxPv8HkZHHmKNlO6r0Zk2jJl7hSobF
1211956,"59.563884,17.538598",Björksäterkyrkan,https://lh4.ggpht.com/BcaGvouacdRXuU1JJ5krakWFGGB0vG8WZuhXpHXWf7_CJIvJIDpdCmBfBqwOLmFLSrrVsDlU0cl2_wnPFUg
49141563,"60.061045,18.068286",Solens Fontän,https://lh4.ggpht.com/h6nvH-6th7ZmxmAGDcP3_xxZdrRJk5RFVMyLXZoRGf_oyzyWtuCrG63ZbhQEmDVXohpuVMvxLaz5ca0lV18
49141564,"60.060108,18.067786",Church of Alunda,https://lh4.ggpht.com/qPK993-CsyqdyxT9YSV2tU-V0uS1XgkC06cOXpqOp-c9IhlGzUIDw6-0hJYg0-aBzQVSQ6Be8R7zgYkcrlBr
3689871,"59.84135,17.649697",Feather Sculpture 360,https://lh4.ggpht.com/MTcBvGCiyO_t-yei1-K2Qsr6oTNNllx3kjYyRRATlVI5DjTEoPXzUHc_5fveCxMPQKDlW56jexewqalUFbM
3689991,"59.842642,17.54978",Gustav Wasa,https://lh6.ggpht.com/kCFscaxivwyX97bKAaKXuQhqcAZ8NkAMOOCY_wfHyLtH1MZgNEOy33YWM0NG-nGBX1s_vwyaYhfBPQoCp65ZKg
49019903,"60.195641,17.896765",Kringlan,https://lh4.ggpht.com/LRNhZxoog9S8-5EANT2UZ3Xdj5EyNTcNqOPtZyu-TTeT2Hu0HheL3gsu1VBbu1HYiZPVDvPUbEH4b1lhEKU
3689741,"59.822227,17.615426",Three Legged Rock,https://lh6.ggpht.com/-QMBPsG7LJqB4iy9HFxrwerfaFTQpkPMoIVGklYQwycVANtT98PfxoUR-R-5m0rNX1WkuMx3PpFaPTtPl6nf
49074257,"60.461594,17.414826",Panda med boll,https://lh3.googleusercontent.com/1MuRdpWA1HXdNedW7mUyg29lv8NB1F1XMVZ1lNJId5XlhbkTpR3ukQ_-ve4X-5HrHK-4zCSj_peDtXmbz6sv
49074258,"60.462713,17.416158",Dragon Gate,https://lh6.ggpht.com/TUQWy8Njx2c3xmplXnwx11bKjzhhnV3m4OQ18Y6_DFhkoeEMTrfPU3UZviUSdUz1QQX7_jfhAx7bKJ1VPiCXVg
3689745,"59.82377,17.61105",Tuppen,https://lh3.ggpht.com/2Qm9EfJ7YDEMhgO0j4tJTYft_IRRiy2CRFfuIkXvQS9TT-qcvISRkBXT909StSQvfqDyxNNhim6EUaGG6gWe
9669884,"59.86779,17.625048",Idunspången,https://lh4.ggpht.com/QEyu-W89iBJmqbRBhvUZn1eaYXOpTO28pPS7W3PrHusPWikVyQArFPCmhqNh78B4M8aa2QKtbOGxisqo9lU
9669760,"59.856589,17.65652",Bergsbrunnaparken,https://lh6.ggpht.com/tYO47HZPllalLv9G9zOumPBBzQ-m5SYeElBdBy-CXpqSLz790ipLduvM2A6RakpAI8J6CqBVkd677RmPL5mLPg
9669640,"59.851809,17.628015",Carl Von Linné,https://lh6.ggpht.com/9tU3e5JzlPodb5NuNM4oGAv0dtna5NQ-m-uYWwXfO412jg698BLUyLMtJpB0fyT7nzab0z80W7XMNmFKJC6T
49088655,"60.18011,17.314085",Birgittastenen,https://lh3.googleusercontent.com/l1egiWnyRl2ZXsVuiFHFty1HruCcHq-z7gBARSR8IHW_Ah5BqZWsF6rfD2KkL4PBP98VPlf7KYSFwn-iS577Cw
49088656,"60.181933,17.320061",Aspnäs Gårdskyrka,https://lh3.googleusercontent.com/MdYWGv1AZ5BelyKypyb0Q2J16DYt2bSrPHZ2U3vCDFD5WYmJonRXyBISe3JKaie4YL0_HHD01-eNGhJUGlw
49496647,"59.752314,17.174547",Nysätra Klocka,https://lh3.ggpht.com/-g17yZ-ZWy_DHjTbSNt6fP5n-2l4SuZu3v1TaQHPzg14rNhyLQW2-mAJpyPrJJnIzrq8Lz5p9J9yRZQ89EAL
1084998,"59.534293,17.008837",Ättebacken,https://lh3.ggpht.com/leE2WG3JeIkIjfrcaM0v6DuuQ_FtuEh535BY8L4tgw756qu-imP6KrmySuIezl_c23F3pK374v8F2xCOGwjA
3689982,"59.82458,17.731941",Falebro,https://lh3.ggpht.com/vVTNc6rWTswgpHt-aSTcw4-1VsDIImgSc7fZZR36xY9Q2jTpywCqNxDQXiWqY_XrzcXuhjdauFFQVlv7QRBA
49141577,"60.020165,18.06455",Tuna Klocktorn,https://lh6.ggpht.com/8yE3ULEmoeoazH3jGfrxp6tKm-LXfpekc-JREmy5uQL99LFqZWhJGweXJweMBCIagO9DC-s_ZZUs8B7Royk
12012773,"59.858266,17.579629",Bell Tower,https://lh6.ggpht.com/_svUx15CxOodVLtdJDEMNzrB7KGm2YKsLOCVwtcHjUYicuSZEBoUlbh2hymd4-AtZT1BG90nsFtJJhvMCVAIIA
12012534,"59.854853,17.565289",Orange Arch and Mural,https://lh3.ggpht.com/DYk5LQ8dEqanjYod-80kTu7F8TTnM7TYBNzyhoqpxt3F1aWXwTwC5_Ke4ULqW3itH_-p1KR0uECc3K5maBY
1086281,"60.178825,17.177667",Östervåla Kyrka,https://lh4.ggpht.com/74wNOnMK_9KdmMaIdojoA4daYowLdBYjycA7XJwfKH5SaQsqNVlXlzCUbM3wInCD8hwRhZw1Vyw0v0C04eg
3690087,"59.813333,17.621958",Dansande Flickor,https://lh5.ggpht.com/gtm3aWsHqx7s58WiQ-764BKyaBP95FxSqqG0_GcqLYxos-N9lYrrdI98zx3BtteOmgteqXyrSJ7moEqfIsY
9669238,"59.855171,17.631552",Carolina Rediviva,https://lh3.ggpht.com/cElM4_KYVGoGDGopYCzEWMsKrr-RcaGQKIOUiCjwfCUdwtqf_41OjS_HZHIsXClzSTLGm4pAw3oF2xUW_5I
12012536,"59.854972,17.566257",Avfärd,https://lh4.ggpht.com/lJ_MPWVJhMXFI-ZnRsqIVU8tPD8gTAnq69f4yfyKqD6RT-HKd03UqcsHuFTqKWjCkKUCzb-G70Wc6cjgFQLb
45058762,"59.723842,17.792478",Olof Thunman,https://lh5.ggpht.com/GXAK4I9t1uDMz7voqxvjPu2BWzExBZSfbmYB97RWk-TiaKj3Wp8Sq7P2Ye4sIx8UcSEuGpLYkPx9sITf6E7k
34177877,"59.565111,17.531404",Skulpturer,https://lh3.googleusercontent.com/Bwt8RK2sSQZVmr_yoaXKGd6bOnwF34hjm88HF-0Y7nfo1x-NOgZCDDoyZ56Nybd2hixm9xmv66krJ8-YiR67
9670231,"59.857797,17.646416",Chain of Events,https://lh5.ggpht.com/dEh-mCHm9FNbcXo_AURTqCp991monpxP_BZV6q5uqR4siO-taL_Jb0dSN2db8WJJE03TUD9DTbwZ26yHs2xs
474269,"60.501999,17.428604",8 Piston Heads,https://lh6.ggpht.com/E8oTglUyOZz5Bma1leUKPgg3e8VI9rG9Ok5Z9WQxVjcf4bqdPOFC7rHY0J2v4uTZGwSWYSpxPHmmWgvMhh8B
3690197,"59.819634,17.701747",Danmarksvandringen Nr 15,https://lh5.ggpht.com/kVlyTC9sGRbccVrdFzJ4x-Eo4YYzBW2TM5KP3tI4etlSFPP6S7APmxhAaI1WQ3JlPWGLYkVQpd3Ol7OK_fV5
